id,ST_NUM,date1,Id_M,value1
275,1152610372,21/4/2025 00:00:00,13,-2
276,1154946444,21/4/2025 00:00:00,20,-2
277,1150910477,21/4/2025 00:00:00,20,-2
278,1163294406,21/4/2025 00:00:00,20,-2
279,1159392503,21/4/2025 00:00:00,13,-2
280,1162254278,21/4/2025 00:00:00,17,-2
281,1159208121,21/4/2025 00:00:00,17,-2
282,1162565111,2/5/2024 00:00:00,20,-2
283,1158705911,2/5/2024 00:00:00,20,-2
284,1152445159,21/4/2025 00:00:00,13,-2
286,1152445159,21/4/2025 00:00:00,26,-3
287,1163065137,21/4/2025 00:00:00,26,-3
288,1162279986,21/4/2025 00:00:00,24,-3
292,1163294430,21/4/2025 00:00:00,4,-1
293,1158317071,21/4/2025 00:00:00,4,-1
294,1163159344,21/4/2025 00:00:00,4,-1
296,1152319842,21/4/2025 00:00:00,23,-3
297,1161321391,21/4/2025 00:00:00,23,-3
298,1152319842,21/4/2025 00:00:00,23,-3
299,1159859394,21/4/2025 00:00:00,13,-2
300,1162863573,21/4/2025 00:00:00,13,-2
301,1163056672,21/4/2025 00:00:00,13,-2
302,1162516106,21/4/2025 00:00:00,13,-2
303,1153090897,21/4/2025 00:00:00,16,-2
304,1153324619,21/4/2025 00:00:00,16,-2
305,1155210246,21/4/2025 00:00:00,8,-1
306,1146450976,21/4/2025 00:00:00,13,-2
307,1152838056,21/4/2025 00:00:00,13,-2
309,1152610372,21/4/2025 00:00:00,13,-2
312,1162565111,22/4/2025 00:00:00,13,-1
313,1161918113,22/4/2025 00:00:00,13,-2
314,1161557069,22/4/2025 00:00:00,13,-2
315,1162754848,22/4/2025 00:00:00,13,-2
316,1161404189,22/4/2025 00:00:00,13,-2
317,1161156078,22/4/2025 00:00:00,13,-2
318,1163056672,22/4/2025 00:00:00,13,-2
319,1159625274,22/4/2025 00:00:00,13,-2
320,1162516106,22/4/2025 00:00:00,13,-2
321,1162706368,22/4/2025 00:00:00,13,-2
323,1155783184,22/4/2025 00:00:00,13,-2
324,1158916989,22/4/2025 00:00:00,13,-2
325,1155247313,22/4/2025 00:00:00,13,-2
326,1158883759,22/4/2025 00:00:00,13,-2
327,1157206531,22/4/2025 00:00:00,13,-2
328,1156522326,22/4/2025 00:00:00,13,-2
329,1156115667,22/4/2025 00:00:00,16,-2
330,1156391060,22/4/2025 00:00:00,16,-2
331,1159043544,22/4/2025 00:00:00,5,-1
332,1159345246,22/4/2025 00:00:00,5,-1
333,1149457739,22/4/2025 00:00:00,8,-1
334,1152688501,22/4/2025 00:00:00,8,-1
335,1153020662,22/4/2025 00:00:00,18,-2
