serial,dateenter,time,ST_NUM,enter,time1,do,enter2,sentg,sentt
278,7/9/2025 00:00:00,,1161728488,2,,,,,
279,7/9/2025 00:00:00,,1161753577,2,,,,,
280,7/9/2025 00:00:00,,1161754815,2,,,,,
281,7/9/2025 00:00:00,,1161804552,2,,,,,
282,7/9/2025 00:00:00,,1161809767,2,,,,,
283,7/9/2025 00:00:00,,1161813215,2,,,,,
284,7/9/2025 00:00:00,,1161815350,2,,,,,
286,7/9/2025 00:00:00,,1161838329,2,,,,,
287,7/9/2025 00:00:00,,1161863863,2,,,,,
288,7/9/2025 00:00:00,,1161918113,2,,,,,
289,7/9/2025 00:00:00,,1161945124,2,,,,,
290,7/9/2025 00:00:00,,1161950298,2,,,,,
291,7/9/2025 00:00:00,,1161957434,2,,,,,
292,7/9/2025 00:00:00,,1162011876,2,,,,,
293,7/9/2025 00:00:00,,1162092579,2,,,,,
294,7/9/2025 00:00:00,,1162100612,2,,,,,
295,7/9/2025 00:00:00,,1162117780,2,,,,,
296,7/9/2025 00:00:00,,1162170946,2,,,,,
297,7/9/2025 00:00:00,30/12/1899 13:24:32,1162192064,3,,,,,
298,7/9/2025 00:00:00,,1162203952,2,,,,,
299,7/9/2025 00:00:00,,1162217242,2,,,,,
300,7/9/2025 00:00:00,,1162230765,2,,,,,
301,7/9/2025 00:00:00,,1162254278,2,,,,,
302,7/9/2025 00:00:00,,1162279986,2,,,,,
303,7/9/2025 00:00:00,,1162320673,2,,,,,
304,7/9/2025 00:00:00,,1162326910,2,,,,,
305,7/9/2025 00:00:00,,1162328825,2,,,,,
306,7/9/2025 00:00:00,,1162333510,2,,,,,
307,7/9/2025 00:00:00,30/12/1899 21:27:34,1162354540,3,,,,,
308,7/9/2025 00:00:00,,1162391096,2,,,,,
309,7/9/2025 00:00:00,,1162414443,2,,,,,
310,7/9/2025 00:00:00,,1162443558,2,,,,,
311,7/9/2025 00:00:00,,1162446767,2,,,,,
312,7/9/2025 00:00:00,,1162446858,2,,,,,
